Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Secteur_Activite,Pays,Place_Boursiere,Capitalisation_Boursiere
Apple Inc.,AAPL,AAPL,Technology,United States,NMS,2829863354368.0
Microsoft Corporation,MSFT,MSFT,Technology,United States,NMS,2675043205120.0
NVIDIA Corporation,NVDA,NVDA,Technology,United States,NMS,2301163732992.0
"Amazon.com, Inc.",AMZN,AMZN,Consumer Cyclical,United States,NMS,1812206583808.0
Walmart Inc.,WMT,WMT,Consumer Defensive,United States,NYQ,666921795584.0
Visa Inc.,V,V,Financial Services,United States,NYQ,604030894080.0
JP Morgan Chase & Co.,JPM,JPM,Financial Services,United States,NYQ,587966054400.0
UnitedHealth Group Incorporated,UNH,UNH,Healthcare,United States,NYQ,480269533184.0
Procter & Gamble Company (The),PG,PG,Consumer Defensive,United States,NYQ,383969165312.0
Johnson & Johnson,JNJ,JNJ,Healthcare,United States,NYQ,369285431296.0
"Home Depot, Inc. (The)",HD,HD,Consumer Cyclical,United States,NYQ,351787909120.0
Coca-Cola Company (The),KO,KO,Consumer Defensive,United States,NYQ,300948652032.0
Chevron Corporation,CVX,CVX,Energy,United States,NYQ,252258779136.0
"Salesforce, Inc.",CRM,CRM,Technology,United States,NYQ,231370358784.0
"Cisco Systems, Inc.",CSCO,CSCO,Technology,United States,NMS,216975933440.0
McDonald's Corporation,MCD,MCD,Consumer Cyclical,United States,NYQ,214416883712.0
International Business Machines,IBM,IBM,Technology,United States,NYQ,210934005760.0
"Merck & Company, Inc.",MRK,MRK,Healthcare,United States,NYQ,205796491264.0
Verizon Communications Inc.,VZ,VZ,Communication Services,United States,NYQ,181143388160.0
American Express Company,AXP,AXP,Financial Services,United States,NYQ,163835379712.0
Amgen Inc.,AMGN,AMGN,Healthcare,United States,NMS,158147788800.0
Walt Disney Company (The),DIS,DIS,Communication Services,United States,NYQ,151004692480.0
"Goldman Sachs Group, Inc. (The)",GS,GS,Financial Services,United States,NYQ,146323046400.0
"Caterpillar, Inc.",CAT,CAT,Industrials,United States,NYQ,137682649088.0
Honeywell International Inc.,HON,HON,Industrials,United States,NMS,124128026624.0
Boeing Company (The),BA,BA,Industrials,United States,NYQ,102771269632.0
"Nike, Inc.",NKE,NKE,Consumer Cyclical,United States,NYQ,84500430848.0
Sherwin-Williams Company (The),SHW,SHW,Basic Materials,United States,NYQ,83516407808.0
3M Company,MMM,MMM,Industrials,United States,NYQ,68444852224.0
"The Travelers Companies, Inc.",TRV,TRV,Financial Services,United States,NYQ,54926884864.0
Alphabet Inc.,GOOGL,GOOGL,Communication Services,United States,NMS,1786628538368.0
